CBE All Sheds — Assumed RFID Mapping
Counting DB date: 17/07/2026

Tag, shed, breed, type, gender, and kid/adult values come from the CBE Counting DB DB tab.

SUMMARY
Sheds with non-zero count: 63
Assumed RFID rows: 951
Kid: 463 | Adult: 488
Sheep: 365 | Goat: 586 | Unknown: 0
Male: 386 | Female: 565 | Unknown: 0

ASSUMED_RFID	TAG	SHED	TYPE	BREED	GENDER	KID_ADULT
CBE-ASSUMED-RFID-00363	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00364	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00365	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00366	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00367	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00368	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00369	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00370	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00371	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00372	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00373	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00374	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00375	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00376	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00377	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00378	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00379	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00380	F2-Female	Godel 1 - Part 3	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00381	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00382	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00383	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00384	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00385	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00386	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00387	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00388	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00389	F2-Female	Godel 1 - Part 4	Goat	Beetal	Female	Kid
CBE-ASSUMED-RFID-00390	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00391	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00392	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00393	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00394	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00395	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00396	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00397	F2-Female	Godel 1 - Part 5	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00398	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00399	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00400	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00401	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00402	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00403	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00404	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00405	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00406	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00407	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00408	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00409	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00410	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00411	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00412	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00413	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00414	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00415	F2-Female	Godel 1 - Part 6	Goat	Malai	Female	Kid
CBE-ASSUMED-RFID-00416	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00417	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00418	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00419	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00420	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00421	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00422	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00423	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00424	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00425	F2-Male	Godel 1 - Part 7	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00426	F2-Male	Godel 1 - Part 8	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00427	F2-Male	Godel 1 - Part 8	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00428	F2-Male	Godel 1 - Part 8	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00429	F2-Male	Godel 1 - Part 8	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00430	F2-Male	Godel 1 - Part 8	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00431	Warmup	Godel 2 - Part 1	Sheep	Anantapur Sheep	Male	Adult
CBE-ASSUMED-RFID-00432	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00433	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00434	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00435	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00436	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00437	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00438	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00439	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00440	F2-Male	Godel 2 - Part 3	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00441	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00442	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00443	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00444	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00445	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00446	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00447	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00448	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00449	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00450	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00451	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00452	F2-Female	Godel 2 - Part 4	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00453	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00454	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00455	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00456	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00457	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00458	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00459	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00460	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00461	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00462	F2-Male	Godel 2 - Part 5	Sheep	Anantapur Sheep	Male	Kid
CBE-ASSUMED-RFID-00463	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00464	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00465	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00466	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00467	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00468	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00469	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00470	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00471	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00472	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00473	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00474	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00475	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00476	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00477	Non-Pregnant	Godel 2 - Part 6	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00478	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00479	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00480	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00481	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00482	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00483	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00484	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00485	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00486	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00487	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00488	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00489	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00490	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00491	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00492	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00493	Non-Pregnant	Godel 2 - Part 7	Goat	Osmanabadi	Female	Adult
CBE-ASSUMED-RFID-00494	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00495	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00496	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00497	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00498	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00499	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00500	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00501	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00502	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00503	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00504	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00505	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00506	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00507	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00508	Non-Pregnant	Godel 2 - Part 8	Goat	Malai	Female	Adult
CBE-ASSUMED-RFID-00509	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00510	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00511	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00512	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00513	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00514	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00515	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00516	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00517	Buck	Ho Chi Minh 1	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00518	Buck	Ho Chi Minh 1	Goat	Sirohi	Male	Adult
CBE-ASSUMED-RFID-00519	Buck	Ho Chi Minh 1	Goat	Sirohi	Male	Adult
CBE-ASSUMED-RFID-00520	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00521	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00522	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00523	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00524	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00525	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00526	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00527	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00528	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00529	Buck	Ho Chi Minh 1	Goat	Sojat	Male	Adult
CBE-ASSUMED-RFID-00530	Mother	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00531	Mother	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00532	Mother	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00533	Mother	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00534	Mother	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Female	Kid
CBE-ASSUMED-RFID-00535	Buck	Mandela 1 - Part 2	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00536	Buck	Mandela 1 - Part 2	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00537	Buck	Mandela 1 - Part 2	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00538	Buck	Mandela 1 - Part 2	Goat	Beetal	Male	Adult
CBE-ASSUMED-RFID-00539	Non-Pregnant	Mandela 1 - Part 3	Goat	Sirohi	Female	Adult
CBE-ASSUMED-RFID-00540	Non-Pregnant	Mandela 1 - Part 3	Goat	Sirohi	Female	Adult
CBE-ASSUMED-RFID-00541	Non-Pregnant	Mandela 1 - Part 3	Goat	Sirohi	Female	Adult
CBE-ASSUMED-RFID-00542	Non-Pregnant	Mandela 1 - Part 3	Goat	Sirohi	Female	Adult
CBE-ASSUMED-RFID-00543	Non-Pregnant	Mandela 1 - Part 3	Goat	Sirohi	Female	Adult
CBE-ASSUMED-RFID-00544	Non-Pregnant	Mandela 1 - Part 3	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00545	Non-Pregnant	Mandela 1 - Part 3	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00546	Non-Pregnant	Mandela 1 - Part 3	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00547	Non-Pregnant	Mandela 1 - Part 3	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00548	Non-Pregnant	Mandela 1 - Part 3	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00549	Non-Pregnant	Mandela 1 - Part 4	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00550	Non-Pregnant	Mandela 1 - Part 4	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00551	Non-Pregnant	Mandela 1 - Part 4	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00552	Non-Pregnant	Mandela 1 - Part 4	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00553	Non-Pregnant	Mandela 1 - Part 4	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00554	Non-Pregnant	Mandela 1 - Part 4	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00555	Non-Pregnant	Mandela 1 - Part 4	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00556	Non-Pregnant	Mandela 1 - Part 4	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00557	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00558	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00559	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00560	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00561	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00562	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00563	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00564	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00565	Non-Pregnant	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00566	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00567	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00568	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00569	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00570	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00571	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00572	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00573	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00574	Non-Pregnant	Mandela 1 - Part 6	Sheep	Anantapur Sheep	Female	Adult
CBE-ASSUMED-RFID-00575	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00576	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00577	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00578	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00579	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00580	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00581	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00582	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00583	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00584	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00585	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00586	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00587	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00588	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00589	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00590	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00591	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00592	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00593	Non-Pregnant	Mandela 1 - Part 7	Goat	Sojat	Female	Adult
CBE-ASSUMED-RFID-00594	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00595	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00596	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00597	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00598	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00599	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00600	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00601	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00602	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00603	Non-Pregnant	Mandela 2 - Part 1	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00604	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00605	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00606	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00607	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00608	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00609	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
CBE-ASSUMED-RFID-00610	Non-Pregnant	Mandela 2 - Part 2	Goat	Beetal	Female	Adult
